edge_id,mean_speed,max_occupancy,mean_occupancy,waiting_time,sample_count,congested
-427091882#6,2.686,0.318,0.082,378.0,4666,1
1451260004,3.246,0.116,0.003,0.0,114086,1
390899291#3,2.043,0.248,0.125,358.0,1375,1
84718335#0,2.002,0.311,0.022,30.0,30977,1
-306603625,2.752,0.178,0.018,0.0,29512,1
379983230,3.432,0.043,0.002,1.0,134613,1
-107537258#11,1.761,0.468,0.017,246.0,128885,1
1451259116,3.360,0.244,0.025,0.0,14652,1
390899291#1,2.169,0.151,0.032,29967.0,5749,1
390899291#0,2.877,0.172,0.029,153.0,4631,1
107537275#10,2.432,0.374,0.069,463.0,8743,1
-107537258#17,1.785,0.609,0.030,5344.0,68514,1
106609644#2,1.765,0.377,0.056,0.0,14454,1
106609644#0,1.765,0.342,0.046,0.0,17313,1
306604006#6,2.821,0.274,0.056,0.0,9221,1
106618518#4,2.455,0.511,0.131,257.0,4178,1
306604006#5,2.611,0.283,0.049,290.0,11237,1
390332915#4,1.104,0.441,0.035,502109.0,33422,1
306604006#1,2.494,0.360,0.085,286.0,6792,1
390332915#2,1.785,0.458,0.033,112077.0,23049,1
466718063#0,1.747,0.175,0.009,0.0,69064,1
390332915#0,2.929,0.176,0.014,7132.0,31654,1
407006399#1-AddedOffRampEdge,3.353,0.073,0.009,623.0,21893,1
407006399#1,3.397,0.107,0.021,5.0,13744,1
72341545,2.791,0.157,0.014,906.0,33987,1
1451259113,3.252,0.284,0.033,70.0,24909,1
1191290959#1,2.922,0.301,0.047,0.0,16839,1
1451259114,1.736,0.286,0.032,1013.0,46189,1
390899291#2,2.764,0.053,0.007,0.0,17988,1
1207275288#3,1.578,0.234,0.030,35665.0,10646,1
385167823,2.961,0.146,0.038,1243.0,2407,1
-567209073,0.677,0.734,0.239,183796.0,13707,1
-711187486#1,2.453,0.446,0.056,1180.0,21640,1
320533165,2.929,0.180,0.031,151.0,4369,1
-69421363#0,1.976,0.494,0.056,156.0,23071,1
306603445#0,1.782,0.503,0.099,0.0,8009,1
1451259113-AddedOnRampEdge,3.407,0.165,0.018,108.0,29779,1
106609644#1,1.776,0.524,0.111,0.0,7116,1
-466718063#5,2.725,0.093,0.009,0.0,30736,1
-106618518#0,2.700,0.230,0.058,21977.0,7984,1
-106618518#1,3.494,0.099,0.105,245.0,3607,1
-106618518#4,3.332,0.128,0.133,245.0,2946,1
-106618518#5,3.684,0.117,0.060,763.0,6040,1
1207275288#1,1.997,0.230,0.029,0.0,8405,1
106927911#1,1.805,0.042,0.021,0.0,1801,1
-83737118#1,1.853,0.168,0.028,0.0,13846,1
-369010052#3,1.738,0.186,0.046,0.0,5093,1
-83737118#2,1.764,0.435,0.056,17.0,11243,1
-83737118#5,1.774,0.453,0.062,15.0,10321,1
-393483684#0,2.845,0.133,0.027,32.0,2042,1
1207275288#0,1.999,0.211,0.029,1.0,8381,1
-83737118#7,1.776,0.450,0.075,15.0,9125,1
-83737118#8,1.769,0.418,0.059,0.0,11412,1
393255036#3,3.256,0.123,0.014,0.0,18357,1
751775964#0,3.389,0.465,0.214,11.0,2333,1
407752596,2.286,0.153,0.024,3080.0,11740,1
-222899712#0,1.778,0.462,0.058,30.0,12066,1
390899291#4,2.994,0.147,0.014,222.0,13946,1
390333421#4,0.642,0.647,0.130,220423.0,13567,1
390333421#0,2.850,0.156,0.010,47591.0,45423,1
-751775961#0,1.809,0.452,0.064,0.0,10563,1
379983229#1,2.801,0.241,0.030,580.0,15486,1
-751775966,0.666,0.726,0.252,135610.0,9630,1
-84718335#0,0.656,0.666,0.022,1537190.0,163423,1
567209073,0.294,0.842,0.230,632508.0,17594,1
369011877#6,2.948,0.282,0.022,1156.0,35733,1
369011877#4,2.780,0.361,0.052,1676.0,16526,1
369011877#3,2.591,0.549,0.053,883.0,21236,1
1207275288#2,2.018,0.236,0.029,0.0,8220,1
106923052#6,2.604,0.489,0.049,24.0,12192,1
106923052#4,2.582,0.508,0.060,0.0,10002,1
106923052#3,2.612,0.521,0.059,0.0,10167,1
-83737118#9,1.769,0.403,0.057,0.0,11845,1
555847192,3.777,0.027,0.002,0.0,76262,1
83737079,3.269,0.479,0.044,602.0,11349,1
390333421#5,0.694,0.582,0.032,1158500.0,61061,1
427091880#12,2.725,0.335,0.048,3.0,12944,1
379983229#0,2.870,0.314,0.031,595.0,14487,1
427091880#8,2.744,0.348,0.087,0.0,6958,1
432390015#1,3.560,0.108,0.006,127972.0,53233,1
427091879#0,3.013,0.163,0.010,24.0,53245,1
407006397,3.966,0.109,0.012,456.0,23962,1
1016666251#0,4.041,0.144,0.024,0.0,7979,1
-427091879#0,4.195,0.114,0.010,3.0,65396,1
107537258#12,0.244,0.670,0.030,2775517.0,131192,1
393255040#1,1.953,0.248,0.031,0.0,7987,1
391062138,3.186,0.364,0.123,789.0,2759,1
-502799838#0,3.242,0.111,0.057,53.0,1480,1
106923052#5,2.590,0.496,0.050,0.0,12146,1
1451259116-AddedOffRampEdge,3.356,0.177,0.018,0.0,13953,1
555847194#1,3.380,0.083,0.008,7.0,23789,1
106923052#2,2.628,0.505,0.064,0.0,9185,1
106923052#1,2.637,0.473,0.061,0.0,9472,1
-106621765#3,2.690,0.421,0.140,0.0,4008,1
-106621766#2,2.542,0.129,0.043,0.0,1964,1
427091880#11,2.734,0.429,0.088,0.0,7007,1
427091880#10,2.737,0.410,0.205,0.0,2944,1
427091880#7,2.735,0.419,0.101,0.0,5993,1
555847190,3.477,0.108,0.022,3148.0,11181,1
-106734530#13,2.729,0.197,0.028,0.0,13261,1
427091882#6,4.190,0.159,0.083,1.0,2396,1
427091882#5,3.466,0.161,0.049,329.0,5095,1
427091882#4,2.253,0.316,0.055,22170.0,12502,1
393255040#4,1.904,0.226,0.028,56.0,8683,1
106932687,1.748,0.041,0.003,0.0,79997,1
435383360#0,2.571,0.344,0.052,283.0,10247,1
-106931287#0,2.764,0.117,0.060,0.0,495,1
83715113#1,2.739,0.202,0.023,283.0,21469,1
-711187487#1,1.886,0.260,0.036,51.0,19466,1
-306620331#7,1.869,0.360,0.072,0.0,3773,1
-306611386,2.993,0.160,0.033,0.0,5220,1
-258418472#1,4.195,0.034,0.006,0.0,29372,1
464436714#0,2.750,0.036,0.036,0.0,1665,1
712906086#1,4.201,0.018,0.006,0.0,6654,1
-712906086#1,4.197,0.017,0.006,0.0,11143,1
390876404#1,0.418,0.670,0.060,565710.0,38005,1
435383360#5,2.241,0.652,0.122,5055.0,3769,1
-306620331#5,1.964,0.523,0.215,0.0,1238,1
-106928653#4,2.622,0.380,0.077,204.0,5161,1
-464564740#0,1.806,0.326,0.046,0.0,24016,1
-464564740#1,2.022,0.299,0.050,0.0,20129,1
-198118090,4.075,0.068,0.014,227.0,20664,1
-323470714#12,1.983,0.340,0.112,0.0,4094,1
258418475,4.192,0.022,0.005,0.0,19023,1
435383360#3,2.747,0.250,0.051,192.0,7039,1
-306620331#9,1.939,0.326,0.108,0.0,2403,1
435353056#1,1.751,0.106,0.035,0.0,7272,1
435353056#0,2.748,0.105,0.053,0.0,3128,1
587606000,1.753,0.058,0.012,0.0,21917,1
-323470714#3,1.842,0.258,0.050,0.0,6647,1
-83715145#0,1.584,0.100,0.050,4443.0,5683,1
713385206#1,1.751,0.209,0.105,0.0,2407,1
713385206#0,1.756,0.073,0.018,0.0,13608,1
727171050,1.750,0.031,0.000,0.0,357529,1
-427091882#4,3.390,0.285,0.049,16.0,8476,1
1206163260#0,0.264,0.422,0.021,3247881.0,95154,1
-427091882#5,2.726,0.332,0.048,3543.0,7399,1
83737106#5,2.502,0.143,0.014,0.0,12229,1
106618518#3,2.595,0.399,0.101,260.0,5073,1
385167822#4,0.332,0.395,0.028,1842085.0,61475,1
-306604006#5,3.053,0.293,0.049,237.0,7897,1
83737106#0,2.552,0.160,0.027,0.0,6492,1
385167822#1,0.361,0.412,0.030,1543931.0,58198,1
-106609644#0,2.747,0.279,0.046,0.0,6262,1
83737118#9,2.128,0.499,0.057,0.0,7387,1
83737118#8,2.162,0.475,0.059,0.0,7030,1
69421363#0,1.919,0.284,0.057,358.0,4368,1
83737118#6,2.364,0.291,0.053,0.0,5869,1
390876404#3,0.324,0.678,0.060,753435.0,44701,1
390876404#2,0.373,0.679,0.059,653278.0,42556,1
83737118#2,2.502,0.283,0.056,0.0,4866,1
55465884#1,2.939,0.386,0.101,0.0,1705,1
83737053#0,0.552,0.702,0.078,346856.0,26318,1
711187486#6,0.595,0.682,0.056,658032.0,28415,1
435352396,4.188,0.099,0.020,1.0,4356,1
-369011877#6,2.924,0.318,0.022,54.0,48252,1
83715119#2,3.269,0.318,0.078,6.0,11949,1
83715119#1,2.393,0.449,0.050,654.0,26683,1
711187486#1,1.401,0.683,0.056,237300.0,15862,1
711187486#0,2.500,0.526,0.048,76577.0,10092,1
83715123,2.957,0.303,0.104,498.0,3906,1
-106932687,1.882,0.091,0.003,16.0,91141,1
-427091880#6,1.809,0.502,0.095,0.0,7172,1
385167822#5,0.317,0.389,0.030,1819304.0,60251,1
-427091880#11,1.798,0.536,0.088,0.0,7944,1
385167822#0,0.387,0.406,0.029,1271609.0,57058,1
-717018706#0,2.575,0.308,0.044,3167.0,7040,1
385156778#0,0.238,0.675,0.061,1275266.0,49566,1
306603625,2.886,0.185,0.018,337.0,25137,1
83718172#5,0.528,0.664,0.058,448836.0,19035,1
306620331#7,2.746,0.069,0.071,0.0,157,1
83718172#4,2.320,0.316,0.065,13077.0,4220,1
83737118#3,2.490,0.513,0.129,0.0,2158,1
83718172#2,2.750,0.195,0.064,0.0,3377,1
83737056,3.261,0.387,0.080,135.0,4285,1
83718172#0,2.684,0.239,0.059,0.0,4450,1
-107537246#3,2.651,0.105,0.113,0.0,783,1
-107552045#4,2.792,0.436,0.231,154.0,1317,1
83737118#0,2.551,0.167,0.028,0.0,9878,1
107553471#0,2.745,0.248,0.123,0.0,1864,1
107537258#5,0.294,0.662,0.017,3046361.0,225220,1
393255040#2,1.951,0.228,0.028,0.0,8603,1
